player,date,is_b2b,proj_pts,actual_pts,diff,notes
Josh Okogie,2025-12-20,False,6.1,9,-2.9000000000000004, [GENERALIST]
Jamal Murray,2025-12-20,False,20.7,16,4.699999999999999, [ELITE_SCORER] +ISO_SCORER+P&R_HANDLER | ISO Tax vs Blitz | P&R Blitz Tax
Kevin Durant,2025-12-20,False,19.6,31,-11.399999999999999, [GENERALIST] +ISO_SCORER+SPOT_UP
Alperen Sengun,2025-12-20,False,22.9,8,14.899999999999999, [HUB_BIG] / JUMBO_CREATOR +TRANSITION | Transition Chaos
Spencer Jones,2025-12-20,False,5.7,9,-3.3, [GENERALIST] +P&R_ROLL_MAN | Roll Man Tax
Jonas Valančiūnas,2025-12-20,False,6.5,10,-3.5, [GENERALIST] +POST_UP+OFF_BALL_CUTTER | Cutter vs Blitz
Amen Thompson,2025-12-20,False,16.2,16,0.1999999999999993, [HUB_BIG] / JUMBO_CREATOR +TRANSITION | Transition Chaos
Bruce Brown,2025-12-20,False,7.3,12,-4.7, [GENERALIST]
Steven Adams,2025-12-20,False,6.4,1,5.4, [GENERALIST] +OFF_BALL_CUTTER+PUTBACK | Hustle Guard
Jalen Pickett,2025-12-20,False,3.2,10,-6.8, [GENERALIST]
Nikola Jokić,2025-12-20,False,23.3,25,-1.6999999999999993, [HUB_BIG] / JUMBO_CREATOR
Reed Sheppard,2025-12-20,False,11.9,28,-16.1, [GENERALIST] +P&R_HANDLER | PnR Handler vs Funnel
Jabari Smith Jr.,2025-12-20,False,14.9,22,-7.1, [STRETCH_BIG] +SPOT_UP
Cameron Johnson,2025-12-20,False,11.8,6,5.800000000000001, [GENERALIST] +SPOT_UP
Tim Hardaway Jr.,2025-12-20,False,10.9,8,2.9000000000000004, [GENERALIST] +SPOT_UP
Neemias Queta,2025-12-20,True,7.8,14,-6.2, [GENERALIST] +OFF_BALL_CUTTER+PUTBACK | Road B2B (Fatigue) | Cutter vs Blitz | Hustle Guard
Brandon Ingram,2025-12-20,False,22.0,24,-2.0, [GENERALIST] +SPOT_UP+ISO_SCORER | Spot-Up vs Pack | Hustle Guard
Anfernee Simons,2025-12-20,True,9.9,15,-5.1, [GENERALIST] +ISO_SCORER | Road B2B (Fatigue) + Guard Tax | ISO Tax vs Blitz
Sandro Mamukelashvili,2025-12-20,False,9.5,24,-14.5, [GENERALIST] +P&R_ROLL_MAN | Roll Man vs Drop | Hustle Guard
Jamal Shead,2025-12-20,False,8.2,6,2.1999999999999993, [FACILITATOR]
Derrick White,2025-12-20,True,16.0,15,1.0, [GENERALIST] +ISO_SCORER+TRANSITION | Road B2B (Fatigue) + Guard Tax | ISO Tax vs Blitz
Hugo González,2025-12-20,True,3.4,10,-6.6, [GENERALIST] +P&R_ROLL_MAN | Road B2B (Fatigue) | Roll Man Tax
Ochai Agbaji,2025-12-20,False,4.8,6,-1.2000000000000002, [GENERALIST] +P&R_ROLL_MAN+OFF_BALL_CUTTER | Roll Man vs Drop | Cutter Tax
Scottie Barnes,2025-12-20,False,17.6,12,5.600000000000001, [HUB_BIG] / JUMBO_CREATOR +TRANSITION | Transition Tax
Luka Garza,2025-12-20,True,2.1,12,-9.9, [GENERALIST] +P&R_ROLL_MAN | Road B2B (Fatigue) | Roll Man Tax
Payton Pritchard,2025-12-20,True,13.3,33,-19.7, [GENERALIST] +P&R_HANDLER+ISO_SCORER | Road B2B (Fatigue) + Guard Tax | P&R Blitz Tax | ISO Tax vs Blitz
Immanuel Quickley,2025-12-20,False,14.5,3,11.5, [GENERALIST] +TRANSITION+P&R_HANDLER | Transition Tax | P&R Drop Edge
Collin Murray-Boyles,2025-12-20,False,3.9,9,-5.1, [GENERALIST] +OFF_BALL_CUTTER+P&R_ROLL_MAN | Cutter Tax | Roll Man vs Drop
Sam Hauser,2025-12-20,True,5.5,6,-0.5, [GENERALIST] +SPOT_UP | Road B2B (Fatigue)
Josh Minott,2025-12-20,True,3.6,5,-1.4, [GENERALIST] +P&R_ROLL_MAN | Road B2B (Fatigue) | Roll Man Tax
Jabari Walker,2025-12-20,True,5.4,2,3.4000000000000004, [GENERALIST] +P&R_ROLL_MAN+OFF_BALL_CUTTER | Home B2B | Roll Man vs Small Ball | Cutter vs Small Ball
Cooper Flagg,2025-12-20,False,20.6,24,-3.3999999999999986, [GENERALIST] +ISO_SCORER+P&R_HANDLER | P&R Drop Edge | Hustle Guard
Adem Bona,2025-12-20,True,4.3,10,-5.7, [GENERALIST] +OFF_BALL_CUTTER+P&R_ROLL_MAN | Home B2B | Cutter vs Small Ball | Roll Man vs Small Ball
Jared McCain,2025-12-20,True,8.6,12,-3.4000000000000004, [GENERALIST] | Home B2B + Guard Tax
VJ Edgecombe,2025-12-20,True,12.2,26,-13.8, [GENERALIST] +TRANSITION | Home B2B + Guard Tax
Brandon Williams,2025-12-20,False,12.1,10,2.0999999999999996, [FACILITATOR]
Anthony Davis,2025-12-20,False,17.8,24,-6.199999999999999, [GENERALIST] +POST_UP | Hustle Guard
Ryan Nembhard,2025-12-20,False,8.1,7,1.0999999999999996, [FACILITATOR] +P&R_HANDLER | P&R Drop Edge
Klay Thompson,2025-12-20,False,10.9,10,0.9000000000000004, [GENERALIST] +SPOT_UP+P&R_HANDLER | Spot-Up vs Pack | P&R Drop Edge
Quentin Grimes,2025-12-20,True,12.6,6,6.6, [GENERALIST] | Home B2B + Guard Tax
Andre Drummond,2025-12-20,True,5.6,6,-0.40000000000000036, [RIM_RUNNER] +OFF_BALL_CUTTER+POST_UP | Home B2B | Size Advantage (O-Boards) | Cutter vs Small Ball | Post vs Small Ball
Dominick Barlow,2025-12-20,True,7.2,21,-13.8, [GENERALIST] +P&R_ROLL_MAN+OFF_BALL_CUTTER | Home B2B | Roll Man vs Small Ball | Cutter vs Small Ball | Hustle Guard
Naji Marshall,2025-12-20,False,10.9,22,-11.1, [GENERALIST] +TRANSITION | Transition Tax
Tyrese Maxey,2025-12-20,True,24.3,38,-13.7, [ELITE_SCORER] +ISO_SCORER+P&R_HANDLER | Home B2B + Guard Tax | ISO Mismatch | ISO vs Perimeter
P.J. Washington,2025-12-20,False,16.6,15,1.6000000000000014, [STRETCH_BIG] | PHI Paint Pack Edge
Jarace Walker,2025-12-20,False,7.8,7,0.7999999999999998, [GENERALIST]
Karlo Matković,2025-12-20,False,2.7,6,-3.3, [GENERALIST] +OFF_BALL_CUTTER+P&R_ROLL_MAN
Trey Murphy III,2025-12-20,False,18.7,17,1.6999999999999993, [GENERALIST] +SPOT_UP+TRANSITION | Fast Break Edge | Hustle Guard
Johnny Furphy,2025-12-20,False,2.2,18,-15.8, [GENERALIST]
Saddiq Bey,2025-12-20,False,15.8,18,-2.1999999999999993, [GENERALIST] | Hustle Guard
Jeremiah Fears,2025-12-20,False,15.2,5,10.2, [GENERALIST] +TRANSITION | Fast Break Edge
Jose Alvarado,2025-12-20,False,8.3,3,5.300000000000001, [GENERALIST]
Derik Queen,2025-12-20,False,13.2,17,-3.8000000000000007, [JUMBO_CREATOR] / FACILITATOR | Hustle Guard
Jordan Poole,2025-12-20,False,16.8,16,0.8000000000000007, [SNIPER] +P&R_HANDLER
Ethan Thompson,2025-12-20,False,4.1,7,-2.9000000000000004, [GENERALIST]
T.J. McConnell,2025-12-20,False,7.9,16,-8.1, [GENERALIST] +P&R_HANDLER+TRANSITION
Zion Williamson,2025-12-20,False,18.3,29,-10.7, [GENERALIST] +TRANSITION+ISO_SCORER | Fast Break Edge
Pascal Siakam,2025-12-20,False,20.8,22,-1.1999999999999993, [GENERALIST] +TRANSITION+ISO_SCORER | ISO vs Perimeter | Hustle Guard
Bennedict Mathurin,2025-12-20,False,15.4,4,11.4, [GENERALIST] +P&R_HANDLER
Jay Huff,2025-12-20,False,8.6,9,-0.40000000000000036, [GENERALIST] +P&R_ROLL_MAN+SPOT_UP | Roll Man vs Small Ball | Spot-Up Tax
Andrew Nembhard,2025-12-20,False,16.9,7,9.899999999999999, [GENERALIST] +P&R_HANDLER+ISO_SCORER | ISO vs Perimeter
Quenton Jackson,2025-12-20,False,6.2,2,4.2, [GENERALIST]
Jalen Duren,2025-12-20,False,13.3,19,-5.699999999999999, [RIM_RUNNER]
Ausar Thompson,2025-12-20,False,9.5,14,-4.5, [GENERALIST]
Ryan Kalkbrenner,2025-12-20,False,5.5,4,1.5, [GENERALIST] +OFF_BALL_CUTTER+PUTBACK | Cutter Tax
Tre Mann,2025-12-20,False,6.1,3,3.0999999999999996, [GENERALIST]
Caris LeVert,2025-12-20,False,8.7,2,6.699999999999999, [GENERALIST]
Kon Knueppel,2025-12-20,False,16.2,19,-2.8000000000000007, [GENERALIST] +SPOT_UP+TRANSITION | Spot-Up vs Pack | Transition Tax
Miles Bridges,2025-12-20,False,19.0,19,0.0, [GENERALIST] +SPOT_UP+TRANSITION | Spot-Up vs Pack | Transition Tax
Cade Cunningham,2025-12-20,False,24.6,22,2.6000000000000014, [JUMBO_CREATOR] +ISO_SCORER+P&R_HANDLER | Hustle Guard
LaMelo Ball,2025-12-20,False,16.7,8,8.7, [GENERALIST] +TRANSITION+SPOT_UP | Transition Tax | Spot-Up vs Pack
Sion James,2025-12-20,False,6.1,5,1.0999999999999996, [GENERALIST]
Ronald Holland II,2025-12-20,False,8.0,9,-1.0, [GENERALIST]
Brandon Miller,2025-12-20,False,18.8,14,4.800000000000001, [GENERALIST] +TRANSITION | Transition Tax
Tidjane Salaün,2025-12-20,False,6.7,8,-1.2999999999999998, [GENERALIST] +P&R_ROLL_MAN | Roll Man vs Drop
Tobias Harris,2025-12-20,False,12.1,16,-3.9000000000000004, [GENERALIST]
Duncan Robinson,2025-12-20,False,9.2,15,-5.800000000000001, [GENERALIST] +SPOT_UP+TRANSITION | Fast Break Edge
Isaiah Stewart,2025-12-20,False,7.3,8,-0.7000000000000002, [GENERALIST] +P&R_ROLL_MAN | Hustle Guard
Moussa Diabaté,2025-12-20,False,4.7,1,3.7, [GENERALIST] +OFF_BALL_CUTTER+P&R_ROLL_MAN | Cutter Tax | Roll Man vs Drop | Hustle Guard
Olivier-Maxence Prosper,2025-12-20,False,4.6,8,-3.4000000000000004, [GENERALIST] +P&R_ROLL_MAN
CJ McCollum,2025-12-20,False,18.0,28,-10.0, [GENERALIST] +P&R_HANDLER+TRANSITION | P&R Drop Edge | Transition Tax
Tre Johnson,2025-12-20,False,8.8,12,-3.1999999999999993, [GENERALIST]
Bub Carrington,2025-12-20,False,9.7,14,-4.300000000000001, [GENERALIST] +ISO_SCORER+P&R_HANDLER | P&R Drop Edge
Marvin Bagley III,2025-12-20,False,11.6,16,-4.4, [GENERALIST] +OFF_BALL_CUTTER+P&R_ROLL_MAN | Cutter Tax | Roll Man vs Drop | Hustle Guard
Kyshawn George,2025-12-20,False,11.0,28,-17.0, [FACILITATOR] +P&R_HANDLER+TRANSITION | P&R Drop Edge | Transition Tax
Cam Spencer,2025-12-20,False,10.2,19,-8.8, [GENERALIST] +P&R_HANDLER+TRANSITION | PnR Handler vs Funnel | Transition Chaos
Jaylen Wells,2025-12-20,False,13.0,4,9.0, [GENERALIST] +SPOT_UP+P&R_HANDLER | PnR Handler vs Funnel
Khris Middleton,2025-12-20,False,9.7,6,3.6999999999999993, [FACILITATOR] +P&R_HANDLER | P&R Drop Edge
Cedric Coward,2025-12-20,False,12.2,14,-1.8000000000000007, [GENERALIST] | Hustle Guard
Santi Aldama,2025-12-20,False,11.8,37,-25.2, [GENERALIST] +SPOT_UP+TRANSITION | Transition Chaos | Hustle Guard
Justin Champagnie,2025-12-20,False,6.6,4,2.5999999999999996, [GENERALIST] +P&R_ROLL_MAN+OFF_BALL_CUTTER | Roll Man vs Drop | Cutter Tax | Hustle Guard
Jaren Jackson Jr.,2025-12-20,False,15.5,22,-6.5, [GENERALIST] +SPOT_UP+TRANSITION | Transition Chaos
Alex Sarr,2025-12-20,False,21.0,18,3.0, [GENERALIST] +TRANSITION | Transition Tax | Hustle Guard
Kentavious Caldwell-Pope,2025-12-20,False,6.8,11,-4.2, [GENERALIST]
Jock Landale,2025-12-20,False,10.0,5,5.0, [GENERALIST] +P&R_ROLL_MAN | Hustle Guard
Will Richard,2025-12-20,False,5.4,20,-14.6, [GENERALIST] +P&R_ROLL_MAN | Roll Man Tax
Jordan Goodwin,2025-12-20,False,10.1,9,1.0999999999999996, [GENERALIST] +SPOT_UP | Spot-Up Tax
Collin Gillespie,2025-12-20,False,12.8,16,-3.1999999999999993, [GENERALIST] +ISO_SCORER+P&R_HANDLER | ISO vs Perimeter
Jimmy Butler III,2025-12-20,False,17.4,25,-7.600000000000001, [JUMBO_CREATOR] | Hustle Guard
Dillon Brooks,2025-12-20,False,21.2,22,-0.8000000000000007, [GENERALIST] +ISO_SCORER+P&R_HANDLER | ISO vs Perimeter
Moses Moody,2025-12-20,False,9.7,3,6.699999999999999, [GENERALIST] +P&R_ROLL_MAN+SPOT_UP | Roll Man Tax
De'Anthony Melton,2025-12-20,False,9.1,2,7.1, [GENERALIST]
Brandin Podziemski,2025-12-20,False,10.4,11,-0.5999999999999996, [GENERALIST] +P&R_HANDLER | P&R Blitz Tax
Quinten Post,2025-12-20,False,9.8,7,2.8000000000000007, [GENERALIST] +SPOT_UP+P&R_ROLL_MAN | Roll Man Tax
Trayce Jackson-Davis,2025-12-20,False,3.6,5,-1.4, [GENERALIST] +OFF_BALL_CUTTER+PUTBACK | Cutter vs Blitz
Oso Ighodaro,2025-12-20,False,4.3,10,-5.7, [GENERALIST] +OFF_BALL_CUTTER+P&R_ROLL_MAN | Cutter vs Small Ball | Roll Man vs Small Ball
Gary Payton II,2025-12-20,False,4.3,5,-0.7000000000000002, [GENERALIST] +OFF_BALL_CUTTER+P&R_ROLL_MAN | Cutter vs Blitz | Roll Man Tax
Stephen Curry,2025-12-20,False,22.7,28,-5.300000000000001, [ELITE_SCORER] +P&R_HANDLER+TRANSITION | P&R Blitz Tax
Devin Booker,2025-12-20,False,21.9,38,-16.1, [GENERALIST] +ISO_SCORER+P&R_HANDLER | ISO vs Perimeter
Mark Williams,2025-12-20,False,11.0,4,7.0, [GENERALIST] +OFF_BALL_CUTTER+PUTBACK | Cutter vs Small Ball | Putback vs Small | Hustle Guard
Jamaree Bouyea,2025-12-20,False,5.1,5,0.09999999999999964, [GENERALIST]
Royce O'Neale,2025-12-20,False,8.1,5,3.0999999999999996, [GENERALIST] +SPOT_UP | Spot-Up Tax
Ryan Dunn,2025-12-20,False,4.9,7,-2.0999999999999996, [GENERALIST] +P&R_ROLL_MAN+POST_UP | Roll Man vs Small Ball | Post vs Small Ball
Kyle Filipowski,2025-12-20,False,9.9,6,3.9000000000000004, [GENERALIST] +P&R_ROLL_MAN | Roll Man vs Drop | Hustle Guard
Keyonte George,2025-12-20,False,21.0,27,-6.0, [GENERALIST] +ISO_SCORER+P&R_HANDLER | P&R Drop Edge
Jusuf Nurkić,2025-12-20,False,9.9,4,5.9, [HUB_BIG] +P&R_ROLL_MAN | Roll Man vs Drop
Svi Mykhailiuk,2025-12-20,False,6.2,23,-16.8, [GENERALIST]
Tyus Jones,2025-12-20,False,2.9,5,-2.1, [GENERALIST]
Isaiah Collier,2025-12-20,False,7.0,18,-11.0, [FACILITATOR]
Jase Richardson,2025-12-20,False,5.2,10,-4.8, [GENERALIST]
Desmond Bane,2025-12-20,False,18.6,32,-13.399999999999999, [GENERALIST] +P&R_HANDLER+ISO_SCORER | PnR Handler vs Funnel
Noah Penda,2025-12-20,False,4.5,13,-8.5, [GENERALIST] +P&R_ROLL_MAN
Wendell Carter Jr.,2025-12-20,False,9.4,14,-4.6, [GENERALIST] +SPOT_UP+P&R_ROLL_MAN | Hustle Guard
Paolo Banchero,2025-12-20,False,19.4,23,-3.6000000000000014, [GENERALIST] +ISO_SCORER+P&R_HANDLER | PnR Handler vs Funnel | Hustle Guard
Kevin Love,2025-12-20,False,6.9,16,-9.1, [GENERALIST] +P&R_ROLL_MAN | Roll Man vs Drop
Goga Bitadze,2025-12-20,False,4.3,5,-0.7000000000000002, [GENERALIST] +OFF_BALL_CUTTER+PUTBACK
Anthony Black,2025-12-20,False,16.3,20,-3.6999999999999993, [GENERALIST] +TRANSITION | Transition Chaos
Ace Bailey,2025-12-20,False,10.7,14,-3.3000000000000007, [GENERALIST] +SPOT_UP | Spot-Up vs Pack
Brice Sensabaugh,2025-12-20,False,8.3,12,-3.6999999999999993, [GENERALIST]
Maxime Raynaud,2025-12-20,False,10.9,17,-6.1, [GENERALIST] +P&R_ROLL_MAN | Hustle Guard
Sidy Cissoko,2025-12-20,False,6.6,1,5.6, [GENERALIST]
DeMar DeRozan,2025-12-20,False,14.6,15,-0.40000000000000036, [GENERALIST] +ISO_SCORER+P&R_HANDLER
Dennis Schröder,2025-12-20,False,10.8,21,-10.2, [FACILITATOR] +P&R_HANDLER
Robert Williams III,2025-12-20,False,5.6,10,-4.4, [RIM_RUNNER] +OFF_BALL_CUTTER+PUTBACK
Nique Clifford,2025-12-20,False,4.2,12,-7.8, [GENERALIST]
Kris Murray,2025-12-20,False,5.6,9,-3.4000000000000004, [GENERALIST] +P&R_ROLL_MAN+OFF_BALL_CUTTER
Shaedon Sharpe,2025-12-20,False,18.3,23,-4.699999999999999, [GENERALIST] +ISO_SCORER+P&R_HANDLER | PnR Handler vs Funnel
Deni Avdija,2025-12-20,False,23.5,24,-0.5, [JUMBO_CREATOR] +P&R_HANDLER+TRANSITION | PnR Handler vs Funnel | Transition Chaos | Hustle Guard
Russell Westbrook,2025-12-20,False,13.4,7,6.4, [JUMBO_CREATOR] / FACILITATOR +P&R_HANDLER+TRANSITION | Fast Break Edge | Hustle Guard
Dylan Cardwell,2025-12-20,False,6.0,4,2.0, [GENERALIST] +P&R_ROLL_MAN+POST_UP | Hustle Guard
Donovan Clingan,2025-12-20,False,10.8,14,-3.1999999999999993, [GENERALIST] +P&R_ROLL_MAN+OFF_BALL_CUTTER | Hustle Guard
Toumani Camara,2025-12-20,False,10.8,15,-4.199999999999999, [GENERALIST] +SPOT_UP+P&R_ROLL_MAN | Hustle Guard
Keegan Murray,2025-12-20,False,14.6,15,-0.40000000000000036, [STRETCH_BIG]
James Harden,2025-12-20,False,22.8,21,1.8000000000000007, [ELITE_SCORER] +ISO_SCORER+P&R_HANDLER | P&R Drop Edge
Jarred Vanderbilt,2025-12-20,False,4.6,4,0.5999999999999996, [GENERALIST] +P&R_ROLL_MAN+OFF_BALL_CUTTER | Roll Man vs Small Ball | Cutter vs Small Ball | Hustle Guard
John Collins,2025-12-20,False,11.3,17,-5.699999999999999, [GENERALIST] +P&R_ROLL_MAN | Roll Man vs Drop
Jaxson Hayes,2025-12-20,False,4.7,8,-3.3, [GENERALIST] +OFF_BALL_CUTTER+PUTBACK | Cutter vs Small Ball | Putback vs Small
Brook Lopez,2025-12-20,False,4.3,11,-6.7, [GENERALIST] +P&R_ROLL_MAN+SPOT_UP | Roll Man vs Drop | Spot-Up vs Pack
Luka Dončić,2025-12-20,False,32.5,12,20.5, [ELITE_SCORER] / JUMBO_CREATOR +ISO_SCORER+P&R_HANDLER | ISO Mismatch | ISO vs Perimeter
Jake LaRavia,2025-12-20,False,5.8,12,-6.2, [GENERALIST] +P&R_ROLL_MAN | Roll Man vs Small Ball
Nick Smith Jr.,2025-12-20,False,5.6,9,-3.4000000000000004, [GENERALIST]
Marcus Smart,2025-12-20,False,9.0,5,4.0, [GENERALIST] +SPOT_UP | Spot-Up Tax
Maxi Kleber,2025-12-20,False,2.4,0,2.4, [GENERALIST] +POST_UP+OFF_BALL_CUTTER | Post vs Small Ball | Cutter vs Small Ball
Kawhi Leonard,2025-12-20,False,21.8,32,-10.2, [GENERALIST] +ISO_SCORER+TRANSITION | Transition Tax | Hustle Guard
Bogdan Bogdanović,2025-12-20,False,8.1,2,6.1, [GENERALIST]
LeBron James,2025-12-20,False,19.0,36,-17.0, [JUMBO_CREATOR] +ISO_SCORER+TRANSITION | Size Mismatch (Guard) | ISO vs Perimeter | Hustle Guard
Nicolas Batum,2025-12-20,False,3.6,3,0.6000000000000001, [GENERALIST] +SPOT_UP+P&R_ROLL_MAN | Spot-Up vs Pack | Roll Man vs Drop
Kobe Sanders,2025-12-20,False,5.5,4,1.5, [GENERALIST]
Kris Dunn,2025-12-20,False,7.6,8,-0.40000000000000036, [GENERALIST]
Dyson Daniels,2025-12-21,False,14.7,8,6.699999999999999, [JUMBO_CREATOR] +TRANSITION | Transition Chaos | Hustle Guard
Zach Collins,2025-12-21,False,6.8,10,-3.2, [GENERALIST] +P&R_ROLL_MAN
Zaccharie Risacher,2025-12-21,False,8.9,17,-8.1, [GENERALIST] +P&R_ROLL_MAN
Matas Buzelis,2025-12-21,False,11.8,28,-16.2, [GENERALIST] +SPOT_UP+P&R_ROLL_MAN
Kevin Huerter,2025-12-21,False,8.4,16,-7.6, [GENERALIST] +SPOT_UP
Coby White,2025-12-21,False,19.6,21,-1.3999999999999986, [GENERALIST] +P&R_HANDLER | PnR Handler vs Funnel
Onyeka Okongwu,2025-12-21,False,14.3,23,-8.7, [STRETCH_BIG] +SPOT_UP
Ayo Dosunmu,2025-12-21,False,12.0,13,-1.0, [GENERALIST] +SPOT_UP
Josh Giddey,2025-12-21,False,16.9,19,-2.1000000000000014, [HUB_BIG] / JUMBO_CREATOR +TRANSITION+SPOT_UP | Transition Chaos
Tre Jones,2025-12-21,False,9.8,11,-1.1999999999999993, [FACILITATOR]
Nikola Vučević,2025-12-21,False,13.5,13,0.5, [GENERALIST] +SPOT_UP+P&R_ROLL_MAN | Hustle Guard
Vít Krejčí,2025-12-21,False,7.0,20,-13.0, [GENERALIST] +SPOT_UP
Nickeil Alexander-Walker,2025-12-21,False,18.9,9,9.899999999999999, [SNIPER] +SPOT_UP+TRANSITION | Transition Chaos
Isaac Okoro,2025-12-21,False,7.7,14,-6.3, [GENERALIST] +P&R_ROLL_MAN+OFF_BALL_CUTTER
Jalen Johnson,2025-12-21,False,22.2,36,-13.8, [HUB_BIG] / JUMBO_CREATOR +P&R_HANDLER+TRANSITION | PnR Handler vs Funnel | Transition Chaos
Trae Young,2025-12-21,False,9.0,35,-26.0, [FACILITATOR] +ISO_SCORER+P&R_HANDLER | PnR Handler vs Funnel
Terance Mann,2025-12-21,False,6.6,5,1.5999999999999996, [GENERALIST] +P&R_ROLL_MAN | Roll Man Tax
Scottie Barnes,2025-12-21,True,16.2,6,10.2, [HUB_BIG] / JUMBO_CREATOR +TRANSITION | Road B2B (Fatigue)
Noah Clowney,2025-12-21,False,14.7,19,-4.300000000000001, [GENERALIST] +SPOT_UP
Ochai Agbaji,2025-12-21,True,4.7,7,-2.3, [GENERALIST] +P&R_ROLL_MAN+OFF_BALL_CUTTER | Road B2B (Fatigue) | Roll Man Tax | Cutter vs Blitz
Nic Claxton,2025-12-21,False,10.9,12,-1.0999999999999996, [HUB_BIG] / JUMBO_CREATOR +OFF_BALL_CUTTER+PUTBACK | Cutter vs Blitz
Jamal Shead,2025-12-21,True,7.5,2,5.5, [FACILITATOR] | Road B2B (Fatigue) + Guard Tax
Gradey Dick,2025-12-21,True,5.0,3,2.0, [GENERALIST] | Road B2B (Fatigue) + Guard Tax
Collin Murray-Boyles,2025-12-21,True,4.0,8,-4.0, [GENERALIST] +OFF_BALL_CUTTER+P&R_ROLL_MAN | Road B2B (Fatigue) | Cutter vs Blitz | Roll Man Tax
Brandon Ingram,2025-12-21,True,19.9,19,0.8999999999999986, [GENERALIST] +SPOT_UP+ISO_SCORER | Road B2B (Fatigue) | ISO Tax vs Blitz | Hustle Guard
Day'Ron Sharpe,2025-12-21,False,6.5,8,-1.5, [GENERALIST] +OFF_BALL_CUTTER+PUTBACK | Cutter vs Blitz | Hustle Guard
Egor Dëmin,2025-12-21,False,10.2,16,-5.800000000000001, [GENERALIST] +SPOT_UP+TRANSITION
Ja'Kobe Walter,2025-12-21,True,5.7,9,-3.3, [GENERALIST] | Road B2B (Fatigue) + Guard Tax
Sandro Mamukelashvili,2025-12-21,True,9.2,4,5.199999999999999, [GENERALIST] +P&R_ROLL_MAN | Road B2B (Fatigue) | Roll Man Tax | Hustle Guard
Michael Porter Jr.,2025-12-21,False,21.5,24,-2.5, [ELITE_SCORER] / STRETCH_BIG +SPOT_UP
Danny Wolf,2025-12-21,False,10.3,0,10.3, [GENERALIST]
Nolan Traore,2025-12-21,False,1.4,8,-6.6, [GENERALIST]
Immanuel Quickley,2025-12-21,True,13.4,17,-3.5999999999999996, [GENERALIST] +TRANSITION+P&R_HANDLER | Road B2B (Fatigue) + Guard Tax | P&R Blitz Tax
Bam Adebayo,2025-12-21,False,16.6,14,2.6000000000000014, [GENERALIST] | Hustle Guard
Josh Hart,2025-12-21,False,11.5,13,-1.5, [HUB_BIG] / JUMBO_CREATOR
Jaime Jaquez Jr.,2025-12-21,False,12.5,23,-10.5, [GENERALIST] +TRANSITION+P&R_HANDLER
Kel'el Ware,2025-12-21,False,9.6,28,-18.4, [GENERALIST] +P&R_ROLL_MAN+OFF_BALL_CUTTER | Roll Man vs Small Ball | Cutter vs Small Ball | Hustle Guard
Dru Smith,2025-12-21,False,7.0,9,-2.0, [GENERALIST]
Karl-Anthony Towns,2025-12-21,False,18.9,2,16.9, [GENERALIST] +P&R_ROLL_MAN+SPOT_UP | Roll Man Tax | Hustle Guard
Andrew Wiggins,2025-12-21,False,13.7,7,6.699999999999999, [GENERALIST]
Tyler Kolek,2025-12-21,False,4.5,6,-1.5, [GENERALIST]
Mitchell Robinson,2025-12-21,False,4.5,9,-4.5, [RIM_RUNNER] +OFF_BALL_CUTTER+PUTBACK | Cutter vs Blitz
Simone Fontecchio,2025-12-21,False,8.6,7,1.5999999999999996, [GENERALIST] +P&R_ROLL_MAN | Roll Man vs Small Ball
Mikal Bridges,2025-12-21,False,13.2,24,-10.8, [GENERALIST] +P&R_HANDLER+TRANSITION | P&R Blitz Tax
Norman Powell,2025-12-21,False,20.1,22,-1.8999999999999986, [GENERALIST] +TRANSITION+SPOT_UP | Spot-Up Tax
Jalen Brunson,2025-12-21,False,25.0,47,-22.0, [ELITE_SCORER] +ISO_SCORER+P&R_HANDLER | ISO Tax vs Blitz | P&R Blitz Tax
Jordan Clarkson,2025-12-21,False,9.6,10,-0.40000000000000036, [GENERALIST]
Davion Mitchell,2025-12-21,False,8.2,13,-4.800000000000001, [FACILITATOR] +TRANSITION
OG Anunoby,2025-12-21,False,13.5,18,-4.5, [GENERALIST] +SPOT_UP
Bones Hyland,2025-12-21,False,7.4,9,-1.5999999999999996, [GENERALIST]
Donte DiVincenzo,2025-12-21,False,12.7,18,-5.300000000000001, [GENERALIST] +SPOT_UP | Spot-Up vs Pack
Ryan Rollins,2025-12-21,False,14.7,16,-1.3000000000000007, [GENERALIST] +P&R_HANDLER+TRANSITION | P&R Drop Edge | Transition Tax
Kyle Kuzma,2025-12-21,False,11.4,12,-0.5999999999999996, [GENERALIST]
Mike Conley,2025-12-21,False,4.3,6,-1.7000000000000002, [GENERALIST]
Gary Trent Jr.,2025-12-21,False,8.5,6,2.5, [GENERALIST]
Julius Randle,2025-12-21,False,19.9,12,7.899999999999999, [JUMBO_CREATOR] +P&R_HANDLER | P&R Drop Edge | Hustle Guard
Myles Turner,2025-12-21,False,11.4,13,-1.5999999999999996, [GENERALIST] +SPOT_UP+P&R_ROLL_MAN | Spot-Up vs Pack | Roll Man vs Drop
Naz Reid,2025-12-21,False,12.5,12,0.5, [GENERALIST] +SPOT_UP | Spot-Up vs Pack | Hustle Guard
Bobby Portis,2025-12-21,False,11.8,16,-4.199999999999999, [GENERALIST] +SPOT_UP | Spot-Up vs Pack | Hustle Guard
Anthony Edwards,2025-12-21,False,25.2,24,1.1999999999999993, [ELITE_SCORER] +ISO_SCORER+P&R_HANDLER | P&R Drop Edge
