player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
Austin Reaves,2025-12-01,SELL_HIGH,0.52,36.8,0.622,37.8,0.446,19.5,True,PASSED
Austin Reaves,2025-12-04,SELL_HIGH,0.519,36.5,0.6,37.8,0.451,15.5,True,PASSED
Austin Reaves,2025-12-05,SELL_HIGH,0.526,36.8,0.646,38.0,0.42,22.7,True,PASSED
Ayo Dosunmu,2025-12-19,BUY_LOW,0.519,27.8,0.385,31.6,0.462,-25.9,True,PASSED
Ayo Dosunmu,2025-12-21,BUY_LOW,0.516,27.1,0.404,29.8,0.432,-21.8,True,PASSED
Ayo Dosunmu,2025-12-23,BUY_LOW,0.52,26.7,0.429,26.2,0.356,-17.6,False,PASSED
Ayo Dosunmu,2025-12-26,BUY_LOW,0.515,26.2,0.405,22.0,0.417,-21.4,True,PASSED
Ayo Dosunmu,2026-01-02,BUY_LOW,0.493,26.1,0.356,23.6,0.621,-27.8,True,PASSED
Bam Adebayo,2025-12-09,SELL_HIGH,0.477,30.4,0.551,31.6,0.438,15.5,True,PASSED
Bam Adebayo,2026-01-01,BUY_LOW,0.467,30.9,0.397,31.2,0.359,-15.0,False,PASSED
Ben Sheppard,2025-11-17,BUY_LOW,0.316,25.1,0.229,21.8,0.344,-27.7,True,PASSED
Ben Sheppard,2025-11-19,BUY_LOW,0.314,25.4,0.235,23.0,0.4,-25.1,True,PASSED
Ben Sheppard,2025-11-29,SELL_HIGH,0.333,25.8,0.4,27.0,0.56,20.0,False,PASSED
Ben Sheppard,2025-12-03,SELL_HIGH,0.331,25.2,0.381,23.8,0.63,15.1,False,PASSED
Ben Sheppard,2025-12-31,SELL_HIGH,0.354,24.9,0.565,22.8,0.538,59.8,True,PASSED
Ben Sheppard,2026-01-02,SELL_HIGH,0.364,24.7,0.583,21.2,0.5,60.4,True,PASSED
Bennedict Mathurin,2025-12-03,BUY_LOW,0.442,32.5,0.375,31.2,0.456,-15.2,True,PASSED
Bennedict Mathurin,2025-12-22,BUY_LOW,0.433,32.5,0.362,32.4,0.414,-16.4,True,PASSED
Bennedict Mathurin,2025-12-23,BUY_LOW,0.426,32.8,0.328,32.8,0.433,-23.0,True,PASSED
Bennedict Mathurin,2025-12-26,BUY_LOW,0.421,32.8,0.333,33.6,0.429,-20.9,True,PASSED
Bobby Portis,2025-11-15,SELL_HIGH,0.477,20.6,0.639,22.6,0.574,33.9,True,PASSED
Bobby Portis,2025-11-17,SELL_HIGH,0.47,20.4,0.59,22.2,0.533,25.5,True,PASSED
Bobby Portis,2025-12-05,BUY_LOW,0.475,21.7,0.37,21.4,0.556,-22.0,True,PASSED
Brandin Podziemski,2025-11-16,BUY_LOW,0.438,28.6,0.357,27.4,0.423,-18.5,True,PASSED
Brandin Podziemski,2025-12-20,SELL_HIGH,0.454,27.8,0.545,26.8,0.5,20.3,True,PASSED
