player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
Andre Drummond,2025-12-23,BUY_LOW,0.528,21.9,0.433,21.8,0.462,-17.9,True,UNFILTERED
Andre Drummond,2025-12-28,BUY_LOW,0.519,21.2,0.438,20.0,0.429,-15.7,False,UNFILTERED
Andrew Nembhard,2025-12-12,SELL_HIGH,0.435,31.1,0.531,31.8,0.403,22.1,True,UNFILTERED
Andrew Nembhard,2025-12-14,SELL_HIGH,0.433,31.4,0.507,32.4,0.384,17.2,True,UNFILTERED
Andrew Wiggins,2025-11-19,BUY_LOW,0.484,32.9,0.397,34.4,0.459,-18.0,True,UNFILTERED
Andrew Wiggins,2025-11-29,BUY_LOW,0.475,32.9,0.37,33.4,0.507,-22.1,True,UNFILTERED
Andrew Wiggins,2025-12-01,BUY_LOW,0.487,33.1,0.4,34.2,0.485,-17.9,True,UNFILTERED
Andrew Wiggins,2025-12-26,BUY_LOW,0.468,32.5,0.393,31.4,0.507,-16.0,True,UNFILTERED
Andrew Wiggins,2025-12-27,BUY_LOW,0.471,32.5,0.39,30.8,0.493,-17.2,True,UNFILTERED
Anfernee Simons,2025-11-26,SELL_HIGH,0.448,24.9,0.523,23.0,0.426,16.6,True,UNFILTERED
Anfernee Simons,2025-11-29,SELL_HIGH,0.438,24.2,0.537,21.0,0.477,22.6,True,UNFILTERED
Anfernee Simons,2025-11-30,SELL_HIGH,0.439,23.9,0.571,22.2,0.444,30.2,True,UNFILTERED
Anfernee Simons,2025-12-02,SELL_HIGH,0.447,24.0,0.558,22.4,0.367,24.6,True,UNFILTERED
Anfernee Simons,2025-12-04,SELL_HIGH,0.452,24.0,0.533,20.6,0.327,18.1,True,UNFILTERED
Anfernee Simons,2025-12-15,BUY_LOW,0.433,23.7,0.367,22.4,0.404,-15.1,True,UNFILTERED
Anfernee Simons,2025-12-19,BUY_LOW,0.43,23.8,0.327,22.6,0.407,-24.0,True,UNFILTERED
Anthony Black,2025-12-09,BUY_LOW,0.454,28.1,0.358,31.2,0.444,-21.1,True,UNFILTERED
Anthony Black,2025-12-13,BUY_LOW,0.447,28.3,0.354,31.6,0.449,-20.8,True,UNFILTERED
Anthony Black,2025-12-18,BUY_LOW,0.441,28.7,0.308,32.2,0.475,-30.2,True,UNFILTERED
Anthony Black,2025-12-20,BUY_LOW,0.441,29.0,0.356,34.0,0.512,-19.3,True,UNFILTERED
Anthony Edwards,2025-12-19,SELL_HIGH,0.5,34.2,0.581,37.8,0.466,16.3,True,UNFILTERED
Asa Newell,2025-12-14,SELL_HIGH,0.569,9.1,0.722,11.0,0.583,27.0,True,UNFILTERED
Asa Newell,2025-12-18,SELL_HIGH,0.579,9.4,0.739,12.4,0.55,27.7,True,UNFILTERED
Asa Newell,2025-12-19,SELL_HIGH,0.576,9.4,0.72,14.4,0.625,24.9,True,UNFILTERED
Asa Newell,2025-12-21,SELL_HIGH,0.559,10.0,0.643,14.6,0.609,15.0,True,UNFILTERED
Austin Reaves,2025-11-30,SELL_HIGH,0.516,36.5,0.605,37.0,0.488,17.4,True,UNFILTERED
Austin Reaves,2025-12-01,SELL_HIGH,0.52,36.8,0.622,37.8,0.446,19.5,True,UNFILTERED
Austin Reaves,2025-12-04,SELL_HIGH,0.519,36.5,0.6,37.8,0.451,15.5,True,UNFILTERED
