id,archived_json,log_json
28148908169,"{""player_id"": ""28148908169"", ""name"": ""Maxi Kleber"", ""team"": ""LAL"", ""position"": ""C"", ""status"": ""ACTIVE"", ""base_ppg"": 3.0, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28148908169"", ""name"": ""Maxi Kleber"", ""team"": ""LAL"", ""position"": ""C"", ""status"": ""ACTIVE"", ""base_ppg"": 3.0, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28158179129,"{""player_id"": ""28158179129"", ""name"": ""Grayson Allen"", ""team"": ""PHO"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 16.4, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28158179129"", ""name"": ""Grayson Allen"", ""team"": ""PHO"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 16.4, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28158545399,"{""player_id"": ""28158545399"", ""name"": ""Derrick Jones Jr."", ""team"": ""LAC"", ""position"": ""F"", ""status"": ""ACTIVE"", ""base_ppg"": 14.5, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28158545399"", ""name"": ""Derrick Jones Jr."", ""team"": ""LAC"", ""position"": ""F"", ""status"": ""ACTIVE"", ""base_ppg"": 14.5, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28158849047,"{""player_id"": ""28158849047"", ""name"": ""Keldon Johnson"", ""team"": ""SA"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 14.4, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28158849047"", ""name"": ""Keldon Johnson"", ""team"": ""SA"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 14.4, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28168235349,"{""player_id"": ""28168235349"", ""name"": ""CJ McCollum"", ""team"": ""ATL"", ""position"": ""G"", ""status"": ""ACTIVE"", ""base_ppg"": 18.9, ""usg_pct"": 0.2, ""archetype"": ""SNIPER"", ""updated_at"": ""2026-01-20 01:19:45"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28168235349"", ""name"": ""CJ McCollum"", ""team"": ""ATL"", ""position"": ""G"", ""status"": ""ACTIVE"", ""base_ppg"": 18.9, ""usg_pct"": 0.2, ""archetype"": ""SNIPER"", ""updated_at"": ""2026-01-20 01:19:45"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28168517499,"{""player_id"": ""28168517499"", ""name"": ""Landry Shamet"", ""team"": ""NY"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 5.5, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28168517499"", ""name"": ""Landry Shamet"", ""team"": ""NY"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 5.5, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28178359499,"{""player_id"": ""28178359499"", ""name"": ""Dean Wade"", ""team"": ""CLE"", ""position"": ""F"", ""status"": ""ACTIVE"", ""base_ppg"": 3.0, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28178359499"", ""name"": ""Dean Wade"", ""team"": ""CLE"", ""position"": ""F"", ""status"": ""ACTIVE"", ""base_ppg"": 3.0, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28178389129,"{""player_id"": ""28178389129"", ""name"": ""Myles Turner"", ""team"": ""MIL"", ""position"": ""C"", ""status"": ""ACTIVE"", ""base_ppg"": 9.7, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28178389129"", ""name"": ""Myles Turner"", ""team"": ""MIL"", ""position"": ""C"", ""status"": ""ACTIVE"", ""base_ppg"": 9.7, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28188235349,"{""player_id"": ""28188235349"", ""name"": ""Kelly Olynyk"", ""team"": ""SA"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 3.1, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28188235349"", ""name"": ""Kelly Olynyk"", ""team"": ""SA"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 3.1, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28188391927,"{""player_id"": ""28188391927"", ""name"": ""John Konchar"", ""team"": ""MEM"", ""position"": ""G"", ""status"": ""ACTIVE"", ""base_ppg"": 3.0, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28188391927"", ""name"": ""John Konchar"", ""team"": ""MEM"", ""position"": ""G"", ""status"": ""ACTIVE"", ""base_ppg"": 3.0, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
