player,game_date,signal,season_fg,l5_fg,n5_fg,deviation,regression_occurred,regression_strength
Craig Porter Jr.,2026-01-04,BUY_LOW,0.508,0.4,0.381,-21.3,False,1.18
D'Angelo Russell,2025-12-06,SELL_HIGH,0.404,0.5,0.421,23.8,True,0.18
Dalton Knecht,2025-11-25,SELL_HIGH,0.464,0.542,0.471,16.7,True,0.08
Dalton Knecht,2025-11-30,SELL_HIGH,0.464,0.6,0.5,29.2,True,0.26
Dalton Knecht,2025-12-05,SELL_HIGH,0.479,0.583,0.267,21.7,True,2.04
Dalton Knecht,2025-12-23,BUY_LOW,0.462,0.364,0.5,-21.3,True,0.38
Dalton Knecht,2025-12-25,BUY_LOW,0.45,0.267,0.5,-40.8,True,0.27
Dalton Knecht,2025-12-28,BUY_LOW,0.455,0.364,0.444,-20.1,True,0.12
Dalton Knecht,2025-12-30,BUY_LOW,0.456,0.333,0.364,-26.9,True,0.75
Daniel Gafford,2025-12-03,BUY_LOW,0.617,0.52,0.5,-15.8,False,1.21
Daniel Gafford,2025-12-15,BUY_LOW,0.61,0.478,0.538,-21.6,True,0.54
Daniel Gafford,2025-12-18,BUY_LOW,0.614,0.474,0.6,-22.9,True,0.1
Daniss Jenkins,2025-11-29,SELL_HIGH,0.5,0.588,0.273,17.6,True,2.58
Daniss Jenkins,2025-12-03,BUY_LOW,0.459,0.25,0.316,-45.5,True,0.69
Daniss Jenkins,2025-12-05,BUY_LOW,0.446,0.233,0.421,-47.7,True,0.12
Daniss Jenkins,2025-12-06,BUY_LOW,0.44,0.235,0.438,-46.6,True,0.01
Daniss Jenkins,2025-12-12,BUY_LOW,0.444,0.273,0.364,-38.6,True,0.47
Daniss Jenkins,2025-12-15,BUY_LOW,0.446,0.273,0.32,-38.9,True,0.73
Daniss Jenkins,2025-12-18,BUY_LOW,0.44,0.316,0.333,-28.2,True,0.86
Daniss Jenkins,2025-12-26,BUY_LOW,0.433,0.364,0.5,-16.0,True,0.96
Daniss Jenkins,2025-12-28,BUY_LOW,0.427,0.32,0.448,-25.0,True,0.2
Daniss Jenkins,2025-12-30,BUY_LOW,0.424,0.333,0.444,-21.4,True,0.22
Danny Wolf,2025-12-27,BUY_LOW,0.378,0.304,0.419,-19.4,True,0.57
Danny Wolf,2025-12-29,BUY_LOW,0.39,0.279,0.367,-28.5,True,0.21
Danny Wolf,2026-01-01,BUY_LOW,0.383,0.273,0.417,-28.8,True,0.3
Danny Wolf,2026-01-02,BUY_LOW,0.385,0.281,0.405,-26.9,True,0.2
Darius Garland,2025-12-25,SELL_HIGH,0.397,0.465,0.492,17.1,False,1.39
Darius Garland,2025-12-27,SELL_HIGH,0.403,0.481,0.484,19.3,False,1.03
Darius Garland,2025-12-29,SELL_HIGH,0.409,0.514,0.513,25.5,True,1.0
Darius Garland,2025-12-31,SELL_HIGH,0.408,0.5,0.519,22.6,False,1.21
Darius Garland,2026-01-02,SELL_HIGH,0.414,0.483,0.557,16.6,False,2.08
Darius Garland,2026-01-04,SELL_HIGH,0.418,0.492,0.536,17.7,False,1.59
Davion Mitchell,2025-12-29,BUY_LOW,0.483,0.359,0.4,-25.7,True,0.67
Davion Mitchell,2026-01-01,BUY_LOW,0.483,0.361,0.368,-25.3,True,0.94
Davion Mitchell,2026-01-03,BUY_LOW,0.482,0.314,0.421,-34.8,True,0.36
Day'Ron Sharpe,2025-12-01,BUY_LOW,0.589,0.444,0.6,-24.5,True,0.08
Day'Ron Sharpe,2025-12-03,BUY_LOW,0.584,0.45,0.63,-23.0,True,0.34
Day'Ron Sharpe,2025-12-04,BUY_LOW,0.575,0.381,0.643,-33.7,True,0.35
Day'Ron Sharpe,2025-12-06,BUY_LOW,0.575,0.417,0.68,-27.5,True,0.67
Day'Ron Sharpe,2025-12-29,SELL_HIGH,0.615,0.708,0.559,15.2,True,0.6
De'Andre Hunter,2025-11-17,SELL_HIGH,0.442,0.528,0.517,19.5,True,0.88
De'Andre Hunter,2025-12-12,BUY_LOW,0.444,0.362,0.396,-18.5,True,0.58
De'Andre Hunter,2025-12-14,BUY_LOW,0.436,0.353,0.423,-19.0,True,0.15
De'Andre Hunter,2025-12-17,BUY_LOW,0.429,0.312,0.462,-27.1,True,0.28
De'Andre Hunter,2025-12-19,BUY_LOW,0.429,0.333,0.4,-22.3,True,0.3
De'Andre Hunter,2025-12-22,BUY_LOW,0.425,0.286,0.429,-32.7,True,0.03
De'Andre Hunter,2026-01-04,BUY_LOW,0.425,0.354,0.421,-16.7,True,0.06
DeMar DeRozan,2025-11-26,SELL_HIGH,0.5,0.582,0.492,16.4,True,0.1
Dean Wade,2025-11-19,SELL_HIGH,0.382,0.458,0.318,19.9,True,0.84
Dean Wade,2025-12-19,SELL_HIGH,0.379,0.44,0.419,16.1,True,0.66
Dean Wade,2025-12-25,SELL_HIGH,0.386,0.455,0.458,17.7,False,1.06
Dennis Schröder,2025-11-12,BUY_LOW,0.383,0.28,0.397,-26.9,True,0.14
Dennis Schröder,2025-11-14,BUY_LOW,0.382,0.227,0.444,-40.6,True,0.4
Dennis Schröder,2025-11-16,BUY_LOW,0.383,0.225,0.431,-41.2,True,0.31
Derik Queen,2025-12-14,SELL_HIGH,0.504,0.589,0.574,16.9,True,0.82
Derik Queen,2025-12-18,SELL_HIGH,0.504,0.6,0.542,19.1,True,0.4
Derik Queen,2025-12-20,SELL_HIGH,0.5,0.577,0.552,15.4,True,0.67
Derik Queen,2025-12-22,SELL_HIGH,0.514,0.655,0.429,27.3,True,0.61
Derik Queen,2025-12-23,SELL_HIGH,0.517,0.615,0.414,19.0,True,1.05
Derik Queen,2026-01-04,BUY_LOW,0.5,0.414,0.471,-17.2,True,0.34
Derrick Jones Jr.,2025-11-14,BUY_LOW,0.558,0.436,0.452,-21.9,True,0.87
Derrick Jones Jr.,2025-11-16,BUY_LOW,0.54,0.432,0.6,-20.0,True,0.55
Derrick White,2025-11-12,SELL_HIGH,0.34,0.394,0.388,15.8,True,0.88
Derrick White,2025-11-16,SELL_HIGH,0.352,0.425,0.391,20.7,True,0.54
Derrick White,2025-11-18,SELL_HIGH,0.356,0.415,0.382,16.3,True,0.44
Derrick White,2025-12-05,SELL_HIGH,0.383,0.494,0.482,28.8,True,0.9
Derrick White,2025-12-07,SELL_HIGH,0.388,0.5,0.429,28.8,True,0.36
Derrick White,2025-12-11,SELL_HIGH,0.393,0.489,0.419,24.3,True,0.27
Derrick White,2025-12-15,SELL_HIGH,0.389,0.476,0.438,22.5,True,0.57
Derrick White,2025-12-19,SELL_HIGH,0.396,0.488,0.391,23.2,True,0.06
Derrick White,2025-12-20,SELL_HIGH,0.404,0.482,0.373,19.4,True,0.39
Devin Booker,2025-11-26,BUY_LOW,0.469,0.376,0.386,-19.7,True,0.9
Devin Booker,2025-11-28,BUY_LOW,0.457,0.333,0.448,-27.1,True,0.08
Devin Booker,2025-11-29,BUY_LOW,0.455,0.321,0.469,-29.3,True,0.11
Devin Booker,2025-12-01,BUY_LOW,0.455,0.364,0.476,-20.0,True,0.24
Devin Booker,2025-12-14,BUY_LOW,0.457,0.379,0.495,-17.0,True,0.49
Devin Booker,2025-12-18,BUY_LOW,0.455,0.386,0.479,-15.2,True,0.35
Devin Vassell,2025-11-30,SELL_HIGH,0.437,0.507,0.439,16.2,True,0.04
Devin Vassell,2025-12-02,SELL_HIGH,0.442,0.538,0.375,21.9,True,0.69
Devin Vassell,2025-12-03,SELL_HIGH,0.438,0.513,0.397,17.0,True,0.56
Devin Vassell,2025-12-05,SELL_HIGH,0.438,0.519,0.429,18.5,True,0.12
Devin Vassell,2025-12-08,SELL_HIGH,0.441,0.513,0.418,16.2,True,0.32
Dillon Brooks,2025-11-23,SELL_HIGH,0.46,0.529,0.436,15.1,True,0.35
Dillon Brooks,2025-12-27,SELL_HIGH,0.462,0.557,0.452,20.5,True,0.11
Dominick Barlow,2025-12-19,BUY_LOW,0.505,0.424,0.622,-16.0,True,1.44
Donovan Clingan,2025-11-12,BUY_LOW,0.478,0.375,0.48,-21.5,True,0.02
Donovan Clingan,2025-12-23,SELL_HIGH,0.513,0.6,0.658,17.0,False,1.66
Donovan Clingan,2025-12-26,SELL_HIGH,0.512,0.657,0.65,28.3,True,0.95
Donovan Clingan,2025-12-28,SELL_HIGH,0.514,0.676,0.681,31.3,False,1.03
Donovan Clingan,2025-12-29,SELL_HIGH,0.528,0.711,0.63,34.7,True,0.56
Donovan Clingan,2025-12-31,SELL_HIGH,0.539,0.707,0.578,31.1,True,0.23
Donovan Clingan,2026-01-02,SELL_HIGH,0.536,0.658,0.551,22.6,True,0.12
Donovan Clingan,2026-01-03,SELL_HIGH,0.535,0.65,0.556,21.5,True,0.18
Donovan Mitchell,2025-11-17,BUY_LOW,0.498,0.405,0.515,-18.6,True,0.18
Donte DiVincenzo,2026-01-03,BUY_LOW,0.41,0.333,0.463,-18.7,True,0.69
Donte DiVincenzo,2026-01-04,BUY_LOW,0.409,0.347,0.474,-15.2,True,1.04
Drake Powell,2025-12-12,BUY_LOW,0.48,0.4,0.467,-16.7,True,0.17
Drake Powell,2025-12-14,BUY_LOW,0.48,0.389,0.417,-19.0,True,0.7
Draymond Green,2025-11-14,BUY_LOW,0.416,0.323,0.385,-22.4,True,0.33
Draymond Green,2025-11-16,BUY_LOW,0.393,0.293,0.347,-25.6,True,0.46
Draymond Green,2025-11-18,BUY_LOW,0.373,0.214,0.404,-42.5,True,0.2
Draymond Green,2025-11-21,BUY_LOW,0.391,0.277,0.357,-29.2,True,0.3
Draymond Green,2025-11-26,BUY_LOW,0.388,0.296,0.41,-23.7,True,0.24
Draymond Green,2025-12-22,SELL_HIGH,0.398,0.485,0.543,21.9,False,1.67
Draymond Green,2025-12-25,SELL_HIGH,0.409,0.556,0.529,35.8,True,0.82
Draymond Green,2025-12-28,SELL_HIGH,0.404,0.516,0.514,27.6,True,0.98
Draymond Green,2025-12-29,SELL_HIGH,0.416,0.514,0.455,23.4,True,0.39
Draymond Green,2025-12-31,SELL_HIGH,0.415,0.548,0.486,32.1,True,0.54
Draymond Green,2026-01-03,SELL_HIGH,0.422,0.543,0.457,28.5,True,0.29
Drew Eubanks,2025-11-12,SELL_HIGH,0.673,0.794,0.562,18.0,True,0.91
Drew Eubanks,2025-12-03,BUY_LOW,0.624,0.529,0.6,-15.1,True,0.25
Drew Eubanks,2025-12-06,BUY_LOW,0.614,0.467,0.778,-24.0,True,1.12
Dru Smith,2025-11-29,BUY_LOW,0.439,0.355,0.417,-19.1,True,0.26
Dru Smith,2025-12-05,BUY_LOW,0.451,0.37,0.308,-17.9,False,1.77
Dru Smith,2025-12-19,BUY_LOW,0.424,0.308,0.344,-27.5,True,0.69
Dru Smith,2025-12-21,BUY_LOW,0.409,0.273,0.464,-33.4,True,0.4
Dru Smith,2025-12-23,BUY_LOW,0.412,0.323,0.5,-21.7,True,0.99
Dru Smith,2025-12-26,BUY_LOW,0.42,0.353,0.433,-16.0,True,0.19
Dru Smith,2025-12-27,BUY_LOW,0.412,0.294,0.522,-28.6,True,0.93
Dru Smith,2025-12-29,BUY_LOW,0.409,0.344,0.579,-16.0,True,2.58
Dru Smith,2026-01-03,SELL_HIGH,0.425,0.5,0.571,17.5,False,1.96
Duncan Robinson,2025-12-26,BUY_LOW,0.426,0.357,0.41,-16.2,True,0.23
Duncan Robinson,2026-01-01,BUY_LOW,0.423,0.357,0.489,-15.6,True,1.0
Duop Reath,2025-12-23,BUY_LOW,0.482,0.333,0.2,-30.9,False,1.9
Dylan Harper,2025-12-18,BUY_LOW,0.461,0.391,0.5,-15.2,True,0.56
Dylan Harper,2025-12-29,BUY_LOW,0.46,0.371,0.373,-19.3,True,0.99
Dylan Harper,2025-12-31,BUY_LOW,0.46,0.375,0.326,-18.4,False,1.58
Dyson Daniels,2025-11-10,SELL_HIGH,0.483,0.596,0.486,23.5,True,0.03
Dyson Daniels,2025-11-12,SELL_HIGH,0.469,0.542,0.529,15.6,True,0.83
Dyson Daniels,2025-11-16,BUY_LOW,0.449,0.342,0.564,-23.7,True,1.08
Dyson Daniels,2025-11-23,SELL_HIGH,0.476,0.55,0.516,15.6,True,0.54
Dyson Daniels,2025-11-25,SELL_HIGH,0.488,0.564,0.483,15.6,True,0.06
Dyson Daniels,2026-01-03,SELL_HIGH,0.493,0.581,0.542,17.9,True,0.56
Ethan Thompson,2025-12-26,BUY_LOW,0.385,0.3,0.4,-22.0,True,0.18
Evan Mobley,2025-11-28,SELL_HIGH,0.496,0.593,0.534,19.5,True,0.4
Evan Mobley,2025-11-30,SELL_HIGH,0.49,0.565,0.533,15.1,True,0.58
Evan Mobley,2025-12-01,SELL_HIGH,0.5,0.591,0.48,18.2,True,0.22
Evan Mobley,2025-12-03,SELL_HIGH,0.498,0.576,0.514,15.5,True,0.21
Gary Payton II,2025-12-04,SELL_HIGH,0.5,0.583,0.3,16.7,True,2.4
Gary Payton II,2025-12-22,BUY_LOW,0.469,0.312,0.8,-33.3,True,2.12
Gary Payton II,2025-12-28,SELL_HIGH,0.49,0.571,0.615,16.5,False,1.54
Gary Payton II,2025-12-29,SELL_HIGH,0.495,0.588,0.636,18.8,False,1.52
Gary Payton II,2025-12-31,SELL_HIGH,0.509,0.636,0.657,25.0,False,1.16
Gary Payton II,2026-01-02,SELL_HIGH,0.526,0.8,0.595,52.1,True,0.25
Gary Trent Jr.,2025-11-12,BUY_LOW,0.386,0.314,0.429,-18.6,True,0.59
Gary Trent Jr.,2025-11-24,SELL_HIGH,0.405,0.476,0.366,17.5,True,0.56
Gary Trent Jr.,2026-01-02,BUY_LOW,0.388,0.258,0.32,-33.5,True,0.52
Goga Bitadze,2025-12-18,SELL_HIGH,0.732,0.846,0.571,15.6,True,1.4
Goga Bitadze,2025-12-29,BUY_LOW,0.691,0.5,0.75,-27.7,True,0.31
Goga Bitadze,2025-12-31,BUY_LOW,0.688,0.429,0.739,-37.7,True,0.2
Goga Bitadze,2026-01-02,BUY_LOW,0.699,0.571,0.632,-18.3,True,0.53
Gradey Dick,2025-11-21,SELL_HIGH,0.434,0.519,0.28,19.5,True,1.81
Gradey Dick,2025-11-23,SELL_HIGH,0.427,0.5,0.261,17.1,True,2.27
Gradey Dick,2025-11-29,BUY_LOW,0.402,0.304,0.448,-24.3,True,0.47
Gradey Dick,2025-11-30,BUY_LOW,0.398,0.28,0.478,-29.7,True,0.68
Gradey Dick,2025-12-02,BUY_LOW,0.393,0.261,0.455,-33.6,True,0.47
Gradey Dick,2025-12-09,SELL_HIGH,0.412,0.478,0.333,16.0,True,1.19
Gradey Dick,2025-12-20,BUY_LOW,0.405,0.333,0.292,-17.8,False,1.58
Gradey Dick,2025-12-23,BUY_LOW,0.399,0.333,0.348,-16.4,True,0.78
Gradey Dick,2025-12-26,BUY_LOW,0.389,0.321,0.417,-17.3,True,0.41
Gradey Dick,2025-12-28,BUY_LOW,0.387,0.28,0.545,-27.6,True,1.48
Gradey Dick,2025-12-29,BUY_LOW,0.39,0.292,0.526,-25.1,True,1.4
Gradey Dick,2025-12-31,BUY_LOW,0.397,0.333,0.5,-16.0,True,1.63
Grayson Allen,2025-11-29,SELL_HIGH,0.468,0.569,0.322,21.6,True,1.45
Grayson Allen,2025-12-05,SELL_HIGH,0.462,0.54,0.278,16.8,True,2.37
Guerschon Yabusele,2025-12-02,SELL_HIGH,0.365,0.5,0.538,36.8,False,1.29
Guerschon Yabusele,2025-12-07,SELL_HIGH,0.393,0.562,0.4,43.0,True,0.04
Guerschon Yabusele,2025-12-09,SELL_HIGH,0.406,0.588,0.417,44.8,True,0.06
Guerschon Yabusele,2025-12-13,SELL_HIGH,0.4,0.538,0.5,34.6,True,0.72
Guerschon Yabusele,2025-12-18,SELL_HIGH,0.4,0.636,0.529,59.1,True,0.55
Guerschon Yabusele,2025-12-19,SELL_HIGH,0.386,0.533,0.571,38.3,False,1.26
Gui Santos,2025-12-22,SELL_HIGH,0.433,0.571,0.5,31.9,True,0.48
Gui Santos,2026-01-02,SELL_HIGH,0.456,0.692,0.438,51.9,True,0.08
Gui Santos,2026-01-03,SELL_HIGH,0.458,0.6,0.467,30.9,True,0.06
Harrison Barnes,2025-11-12,SELL_HIGH,0.549,0.657,0.519,19.6,True,0.28
Harrison Barnes,2025-11-14,SELL_HIGH,0.538,0.632,0.519,17.5,True,0.2
Harrison Barnes,2025-12-02,BUY_LOW,0.497,0.382,0.47,-23.2,True,0.24
Harrison Barnes,2025-12-03,BUY_LOW,0.497,0.419,0.411,-15.7,False,1.11
Harrison Barnes,2025-12-05,BUY_LOW,0.487,0.397,0.38,-18.6,False,1.19
Harrison Barnes,2025-12-08,BUY_LOW,0.485,0.39,0.391,-19.7,True,0.98
Harrison Barnes,2025-12-19,BUY_LOW,0.466,0.38,0.487,-18.4,True,0.25
Harrison Barnes,2025-12-21,BUY_LOW,0.468,0.391,0.419,-16.4,True,0.64
Harrison Barnes,2025-12-23,BUY_LOW,0.467,0.333,0.395,-28.7,True,0.54
Harrison Barnes,2025-12-25,BUY_LOW,0.474,0.385,0.278,-18.9,False,2.19
Harrison Barnes,2026-01-03,BUY_LOW,0.451,0.278,0.366,-38.4,True,0.49
Herbert Jones,2025-11-12,SELL_HIGH,0.447,0.535,0.304,19.6,True,1.62
Herbert Jones,2025-11-19,BUY_LOW,0.398,0.311,0.386,-21.9,True,0.14
Herbert Jones,2025-11-21,BUY_LOW,0.397,0.304,0.42,-23.3,True,0.25
Herbert Jones,2025-12-08,BUY_LOW,0.39,0.277,0.435,-29.1,True,0.39
Hugo González,2025-12-11,SELL_HIGH,0.519,0.684,0.552,31.8,True,0.2
Hugo González,2025-12-15,SELL_HIGH,0.509,0.636,0.56,25.1,True,0.4
Hugo González,2025-12-19,SELL_HIGH,0.517,0.737,0.531,42.6,True,0.07
Hugo González,2025-12-20,SELL_HIGH,0.522,0.632,0.519,20.9,True,0.04
Immanuel Quickley,2025-11-15,SELL_HIGH,0.459,0.528,0.491,15.0,True,0.47
Immanuel Quickley,2025-11-17,SELL_HIGH,0.462,0.567,0.459,22.9,True,0.02
Immanuel Quickley,2025-11-19,SELL_HIGH,0.467,0.582,0.406,24.6,True,0.53
Immanuel Quickley,2025-11-21,SELL_HIGH,0.467,0.576,0.405,23.3,True,0.57
Immanuel Quickley,2025-11-23,SELL_HIGH,0.474,0.576,0.397,21.6,True,0.75
Immanuel Quickley,2025-12-15,SELL_HIGH,0.47,0.554,0.303,17.7,True,2.01
Immanuel Quickley,2025-12-18,SELL_HIGH,0.471,0.556,0.299,17.8,True,2.06
Immanuel Quickley,2025-12-21,BUY_LOW,0.452,0.379,0.352,-16.2,False,1.36
Immanuel Quickley,2025-12-23,BUY_LOW,0.446,0.317,0.352,-29.0,True,0.73
Immanuel Quickley,2025-12-26,BUY_LOW,0.442,0.303,0.362,-31.4,True,0.57
Immanuel Quickley,2025-12-28,BUY_LOW,0.442,0.299,0.358,-32.5,True,0.59
Immanuel Quickley,2025-12-29,BUY_LOW,0.443,0.338,0.357,-23.8,True,0.82
Immanuel Quickley,2025-12-31,BUY_LOW,0.436,0.352,0.392,-19.2,True,0.52
Immanuel Quickley,2026-01-03,BUY_LOW,0.431,0.352,0.375,-18.3,True,0.71
Immanuel Quickley,2026-01-05,BUY_LOW,0.43,0.362,0.388,-15.7,True,0.62
Isaac Okoro,2025-11-12,SELL_HIGH,0.431,0.514,0.515,19.2,False,1.02
Isaac Okoro,2025-11-16,SELL_HIGH,0.458,0.545,0.514,19.0,True,0.63
Isaac Okoro,2025-12-23,SELL_HIGH,0.493,0.579,0.515,17.5,True,0.26
Isaac Okoro,2025-12-27,SELL_HIGH,0.49,0.643,0.486,31.3,True,0.03
Isaiah Collier,2025-11-30,BUY_LOW,0.527,0.44,0.467,-16.6,True,0.69
Isaiah Collier,2025-12-01,BUY_LOW,0.508,0.391,0.471,-23.0,True,0.32
Isaiah Collier,2025-12-04,BUY_LOW,0.508,0.364,0.478,-28.4,True,0.21
Isaiah Collier,2025-12-05,BUY_LOW,0.5,0.353,0.5,-29.4,True,0.0
Isaiah Collier,2026-01-03,SELL_HIGH,0.503,0.581,0.553,15.3,True,0.64
Isaiah Jackson,2025-11-19,SELL_HIGH,0.58,0.71,0.6,22.3,True,0.15
Isaiah Jackson,2025-11-21,SELL_HIGH,0.578,0.708,0.696,22.5,True,0.9
Isaiah Jackson,2025-12-01,SELL_HIGH,0.604,0.696,0.524,15.2,True,0.87
Isaiah Jackson,2025-12-03,SELL_HIGH,0.606,0.773,0.538,27.6,True,0.4
Isaiah Jackson,2025-12-05,SELL_HIGH,0.611,0.818,0.52,34.0,True,0.44
Isaiah Jackson,2025-12-08,SELL_HIGH,0.615,0.783,0.44,27.2,True,1.05
Isaiah Jackson,2025-12-12,SELL_HIGH,0.605,0.722,0.478,19.4,True,1.08
Isaiah Joe,2025-12-02,SELL_HIGH,0.448,0.529,0.542,18.3,False,1.15
Isaiah Joe,2025-12-19,SELL_HIGH,0.468,0.562,0.389,20.3,True,0.83
Isaiah Joe,2025-12-22,SELL_HIGH,0.465,0.545,0.333,17.2,True,1.65
Isaiah Joe,2025-12-25,SELL_HIGH,0.461,0.542,0.409,17.5,True,0.65
Isaiah Joe,2025-12-29,BUY_LOW,0.459,0.389,0.308,-15.3,False,2.15
Isaiah Joe,2025-12-31,BUY_LOW,0.454,0.333,0.333,-26.6,False,1.0
Isaiah Stewart,2025-11-24,SELL_HIGH,0.505,0.581,0.593,15.0,False,1.16
Isaiah Stewart,2025-11-29,SELL_HIGH,0.513,0.593,0.621,15.6,False,1.35
Isaiah Stewart,2025-12-12,SELL_HIGH,0.534,0.621,0.514,16.3,True,0.22
Isaiah Stewart,2025-12-15,SELL_HIGH,0.548,0.677,0.447,23.7,True,0.77
Isaiah Stewart,2025-12-18,SELL_HIGH,0.546,0.636,0.41,16.5,True,1.5
Isaiah Stewart,2025-12-26,BUY_LOW,0.528,0.447,0.5,-15.3,True,0.35
Isaiah Stewart,2025-12-28,BUY_LOW,0.52,0.41,0.514,-21.1,True,0.06
Isaiah Stewart,2025-12-30,BUY_LOW,0.512,0.375,0.674,-26.7,True,1.19
Ja Morant,2025-11-11,BUY_LOW,0.358,0.276,0.39,-22.8,True,0.4
Ja Morant,2025-11-15,BUY_LOW,0.352,0.287,0.443,-18.4,True,1.39
Ja Morant,2025-12-12,BUY_LOW,0.359,0.301,0.506,-16.0,True,2.56
Ja'Kobe Walter,2025-11-26,SELL_HIGH,0.434,0.591,0.457,36.2,True,0.15
Ja'Kobe Walter,2025-11-29,SELL_HIGH,0.444,0.562,0.344,26.6,True,0.85
Ja'Kobe Walter,2025-12-07,BUY_LOW,0.411,0.344,0.381,-16.3,True,0.44
Ja'Kobe Walter,2025-12-09,BUY_LOW,0.402,0.323,0.5,-19.8,True,1.23
Ja'Kobe Walter,2025-12-20,BUY_LOW,0.409,0.273,0.576,-33.3,True,1.22
Ja'Kobe Walter,2025-12-23,SELL_HIGH,0.421,0.5,0.471,18.6,True,0.63
Ja'Kobe Walter,2025-12-28,SELL_HIGH,0.436,0.538,0.379,23.5,True,0.55
Ja'Kobe Walter,2025-12-29,SELL_HIGH,0.448,0.576,0.261,28.6,True,1.46
Ja'Kobe Walter,2025-12-31,SELL_HIGH,0.443,0.576,0.379,30.0,True,0.48
Jabari Walker,2025-12-02,SELL_HIGH,0.464,0.556,0.462,19.7,True,0.03
Jabari Walker,2025-12-05,SELL_HIGH,0.471,0.545,0.316,15.9,True,2.07
Jabari Walker,2025-12-20,BUY_LOW,0.437,0.316,0.333,-27.7,True,0.86
Jabari Walker,2025-12-23,BUY_LOW,0.424,0.143,0.455,-66.3,True,0.11
Jabari Walker,2025-12-26,BUY_LOW,0.427,0.214,0.545,-49.8,True,0.56
Jabari Walker,2025-12-28,BUY_LOW,0.427,0.214,0.5,-49.8,True,0.34
Jabari Walker,2026-01-01,BUY_LOW,0.433,0.308,0.455,-28.9,True,0.17
Jabari Walker,2026-01-03,BUY_LOW,0.424,0.333,0.471,-21.4,True,0.51
Jaden Hardy,2025-11-19,SELL_HIGH,0.407,0.5,0.333,22.7,True,0.8
Jaden Hardy,2025-11-21,SELL_HIGH,0.397,0.467,0.294,17.6,True,1.47
Jaden Hardy,2025-12-05,BUY_LOW,0.375,0.294,0.469,-21.6,True,1.16
Jaden Ivey,2025-12-28,SELL_HIGH,0.48,0.567,0.421,18.1,True,0.68
Jaden Ivey,2026-01-01,SELL_HIGH,0.47,0.545,0.405,16.2,True,0.85
Jaden McDaniels,2025-11-10,SELL_HIGH,0.559,0.655,0.509,17.1,True,0.52
Jaden McDaniels,2025-11-29,BUY_LOW,0.53,0.449,0.552,-15.3,True,0.26
Jaden McDaniels,2025-11-30,BUY_LOW,0.524,0.429,0.526,-18.3,True,0.02
Jaden McDaniels,2025-12-02,BUY_LOW,0.521,0.408,0.542,-21.6,True,0.19
Jaden McDaniels,2025-12-21,BUY_LOW,0.502,0.369,0.537,-26.4,True,0.26
Jaden McDaniels,2025-12-25,BUY_LOW,0.495,0.371,0.585,-25.1,True,0.72
Jaden McDaniels,2025-12-27,BUY_LOW,0.504,0.407,0.545,-19.4,True,0.42
Jaden McDaniels,2026-01-04,SELL_HIGH,0.505,0.585,0.612,15.8,False,1.34
Jaime Jaquez Jr.,2025-11-17,BUY_LOW,0.533,0.442,0.509,-17.1,True,0.26
Jaime Jaquez Jr.,2025-11-19,BUY_LOW,0.528,0.425,0.538,-19.5,True,0.1
Jaime Jaquez Jr.,2025-11-21,BUY_LOW,0.516,0.414,0.52,-19.7,True,0.04
Jaime Jaquez Jr.,2025-11-23,BUY_LOW,0.512,0.391,0.49,-23.6,True,0.19
Jaime Jaquez Jr.,2025-12-06,BUY_LOW,0.511,0.431,0.516,-15.6,True,0.05
Jake LaRavia,2025-11-14,BUY_LOW,0.505,0.375,0.438,-25.8,True,0.52
Jake LaRavia,2025-11-15,BUY_LOW,0.515,0.382,0.393,-25.8,True,0.92
Jake LaRavia,2025-11-18,BUY_LOW,0.477,0.314,0.438,-34.1,True,0.24
Jake LaRavia,2025-11-23,BUY_LOW,0.487,0.342,0.36,-29.8,True,0.88
Jake LaRavia,2025-11-25,BUY_LOW,0.48,0.361,0.444,-24.8,True,0.3
Jake LaRavia,2025-11-30,BUY_LOW,0.488,0.393,0.371,-19.5,False,1.22
Jake LaRavia,2025-12-04,BUY_LOW,0.465,0.36,0.357,-22.6,False,1.03
Jake LaRavia,2025-12-07,BUY_LOW,0.468,0.387,0.387,-17.3,False,1.0
Jake LaRavia,2025-12-10,BUY_LOW,0.463,0.371,0.429,-19.8,True,0.38
Jake LaRavia,2025-12-18,BUY_LOW,0.448,0.357,0.474,-20.2,True,0.29
Jake LaRavia,2025-12-20,BUY_LOW,0.455,0.346,0.415,-23.9,True,0.37
Jalen Duren,2025-12-20,BUY_LOW,0.629,0.527,0.662,-16.2,True,0.32
Jalen Johnson,2025-11-28,BUY_LOW,0.547,0.463,0.5,-15.3,True,0.56
Jalen Johnson,2025-12-01,BUY_LOW,0.539,0.443,0.44,-17.8,False,1.04
Jalen Pickett,2026-01-02,BUY_LOW,0.414,0.316,0.55,-23.7,True,1.39
Jalen Smith,2025-12-23,BUY_LOW,0.475,0.4,0.457,-15.7,True,0.23
Jalen Smith,2025-12-29,BUY_LOW,0.466,0.391,0.465,-16.0,True,0.01
Jalen Suggs,2025-12-01,BUY_LOW,0.476,0.4,0.432,-15.9,True,0.57
Jalen Suggs,2025-12-03,BUY_LOW,0.455,0.373,0.5,-18.0,True,0.55
Jalen Suggs,2025-12-05,BUY_LOW,0.46,0.375,0.48,-18.5,True,0.23
Jalen Suggs,2025-12-07,BUY_LOW,0.462,0.368,0.5,-20.2,True,0.41
