player,game_date,signal,season_fg,l5_fg,n5_fg,deviation,regression_occurred,regression_strength
Anthony Black,2025-11-12,BUY_LOW,0.452,0.368,0.529,-18.4,True,0.94
Anthony Black,2025-12-09,BUY_LOW,0.454,0.358,0.444,-21.1,True,0.1
Anthony Black,2025-12-13,BUY_LOW,0.447,0.354,0.449,-20.8,True,0.02
Anthony Black,2025-12-18,BUY_LOW,0.441,0.308,0.475,-30.2,True,0.26
Anthony Black,2025-12-20,BUY_LOW,0.441,0.356,0.512,-19.3,True,0.83
Anthony Edwards,2025-12-19,SELL_HIGH,0.5,0.581,0.466,16.3,True,0.42
Asa Newell,2025-12-14,SELL_HIGH,0.569,0.722,0.583,27.0,True,0.1
Asa Newell,2025-12-18,SELL_HIGH,0.579,0.739,0.55,27.7,True,0.18
Asa Newell,2025-12-19,SELL_HIGH,0.576,0.72,0.625,24.9,True,0.34
Asa Newell,2025-12-21,SELL_HIGH,0.559,0.643,0.609,15.0,True,0.59
Austin Reaves,2025-11-30,SELL_HIGH,0.516,0.605,0.488,17.4,True,0.31
Austin Reaves,2025-12-01,SELL_HIGH,0.52,0.622,0.446,19.5,True,0.74
Austin Reaves,2025-12-04,SELL_HIGH,0.519,0.6,0.451,15.5,True,0.85
Austin Reaves,2025-12-05,SELL_HIGH,0.526,0.646,0.42,22.7,True,0.89
Ayo Dosunmu,2025-12-19,BUY_LOW,0.519,0.385,0.462,-25.9,True,0.43
Ayo Dosunmu,2025-12-21,BUY_LOW,0.516,0.404,0.432,-21.8,True,0.75
Ayo Dosunmu,2025-12-23,BUY_LOW,0.52,0.429,0.356,-17.6,False,1.8
Ayo Dosunmu,2025-12-26,BUY_LOW,0.515,0.405,0.417,-21.4,True,0.89
Ayo Dosunmu,2025-12-27,BUY_LOW,0.515,0.429,0.444,-16.7,True,0.82
Ayo Dosunmu,2026-01-02,BUY_LOW,0.493,0.356,0.621,-27.8,True,0.93
Bam Adebayo,2025-12-09,SELL_HIGH,0.477,0.551,0.438,15.5,True,0.53
Bam Adebayo,2026-01-01,BUY_LOW,0.467,0.397,0.359,-15.0,False,1.53
Baylor Scheierman,2025-12-28,BUY_LOW,0.491,0.273,0.5,-44.5,True,0.04
Ben Sheppard,2025-11-17,BUY_LOW,0.316,0.229,0.344,-27.7,True,0.31
Ben Sheppard,2025-11-19,BUY_LOW,0.314,0.235,0.4,-25.1,True,1.09
Ben Sheppard,2025-11-29,SELL_HIGH,0.333,0.4,0.56,20.0,False,3.4
Ben Sheppard,2025-12-03,SELL_HIGH,0.331,0.381,0.63,15.1,False,5.98
Ben Sheppard,2025-12-31,SELL_HIGH,0.354,0.565,0.538,59.8,True,0.87
Ben Sheppard,2026-01-02,SELL_HIGH,0.364,0.583,0.5,60.4,True,0.62
Ben Sheppard,2026-01-04,SELL_HIGH,0.369,0.56,0.417,51.9,True,0.25
Bennedict Mathurin,2025-12-03,BUY_LOW,0.442,0.375,0.456,-15.2,True,0.21
Bennedict Mathurin,2025-12-22,BUY_LOW,0.433,0.362,0.414,-16.4,True,0.26
Bennedict Mathurin,2025-12-23,BUY_LOW,0.426,0.328,0.433,-23.0,True,0.07
Bennedict Mathurin,2025-12-26,BUY_LOW,0.421,0.333,0.429,-20.9,True,0.08
Bobby Portis,2025-11-10,SELL_HIGH,0.439,0.515,0.524,17.3,False,1.11
Bobby Portis,2025-11-15,SELL_HIGH,0.477,0.639,0.574,33.9,True,0.6
Bobby Portis,2025-11-17,SELL_HIGH,0.47,0.59,0.533,25.5,True,0.53
Bobby Portis,2025-12-05,BUY_LOW,0.475,0.37,0.556,-22.0,True,0.78
Bobby Portis,2025-12-26,SELL_HIGH,0.489,0.569,0.516,16.5,True,0.33
